FC,RM,AUC,AUC_PR,Omission
LQP,0.5,0.562682,0.518227,0.100098
LQT,0.5,0.562682,0.518227,0.100098
LHP,0.5,0.562682,0.518227,0.100098
LHT,0.5,0.562682,0.518227,0.100098
LPT,0.5,0.562682,0.518227,0.100098
QHP,0.5,0.562682,0.518227,0.100098
QHT,0.5,0.562682,0.518227,0.100098
QPT,0.5,0.562682,0.518227,0.100098
HPT,0.5,0.562682,0.518227,0.100098
LQHP,0.5,0.562682,0.518227,0.100098
LQHT,0.5,0.562682,0.518227,0.100098
LQPT,0.5,0.562682,0.518227,0.100098
LHPT,0.5,0.562682,0.518227,0.100098
QHPT,0.5,0.562682,0.518227,0.100098
LQHPT,0.5,0.562682,0.518227,0.100098
L,0.75,0.562321,0.517216,0.100098
Q,0.75,0.556476,0.505921,0.100098
H,0.75,0.62041,0.577034,0.100098
P,0.75,0.572644,0.527082,0.100098
T,0.75,0.621283,0.572678,0.100098
LQ,0.75,0.562321,0.517216,0.100098
LH,0.75,0.562321,0.517216,0.100098
LP,0.75,0.562321,0.517216,0.100098
LT,0.75,0.562321,0.517216,0.100098
QH,0.75,0.562321,0.517216,0.100098
QP,0.75,0.562321,0.517216,0.100098
QT,0.75,0.562321,0.517216,0.100098
HP,0.75,0.562321,0.517216,0.100098
HT,0.75,0.562321,0.517216,0.100098
PT,0.75,0.562321,0.517216,0.100098
LQH,0.75,0.562321,0.517216,0.100098
LQP,0.75,0.562321,0.517216,0.100098
LQT,0.75,0.562321,0.517216,0.100098
LHP,0.75,0.562321,0.517216,0.100098
LHT,0.75,0.562321,0.517216,0.100098
LPT,0.75,0.562321,0.517216,0.100098
QHP,0.75,0.562321,0.517216,0.100098
QHT,0.75,0.562321,0.517216,0.100098
QPT,0.75,0.562321,0.517216,0.100098
HPT,0.75,0.562321,0.517216,0.100098
LQHP,0.75,0.562321,0.517216,0.100098
LQHT,0.75,0.562321,0.517216,0.100098
LQPT,0.75,0.562321,0.517216,0.100098
